title,popularity,genres,rating,language
The Gorge,3876,"Romance, Science Fiction, Thriller",7.785,en
Flight Risk,3320,"Action, Thriller, Crime",6,en
Mufasa: The Lion King,2643,"Adventure, Family, Animation",7.467,en
Sonic the Hedgehog 3,2402,"Action, Science Fiction, Comedy, Family",7.742,en
Moana 2,2347,"Animation, Adventure, Family, Comedy",7.1,en
Amaran,1780,"Action, Drama, Adventure, War",7.44,ta
Captain America: Brave New World,1495,"Action, Thriller, Science Fiction",6.179,en
Companion,1283,"Horror, Science Fiction, Thriller",7,en
Panda Plan,1214,"Action, Comedy",7.055,zh
Kraven the Hunter,1195,"Action, Adventure, Thriller",6.7,en
Dog Man,977,"Family, Animation, Comedy, Action",7.7,en
Venom: The Last Dance,931,"Action, Science Fiction, Adventure",6.786,en
Gladiator II,875,"Action, Adventure, Drama",6.767,en
The Brutalist,760,Drama,7.065,en
The Substance,755,"Horror, Science Fiction",7.1,en
Alarum,731,"Action, Crime, Thriller",5.792,en
Anora,726,"Drama, Comedy, Romance",7.1,en
Memoir of a Snail,719,"Animation, Drama, Comedy",7.8,en
Dhoom Dhaam,712,"Comedy, Romance, Action",6.4,hi
My Fault: London,687,"Romance, Drama",7.473,en
Death Whisperer 2,669,"Horror, Thriller, Action",7.038,th
Solo Leveling -ReAwakening-,641,"Action, Adventure, Fantasy, Animation",6.8,ja
Flow,632,"Animation, Fantasy, Adventure",8.303,lv
The Island,624,"Action, Crime, Thriller",6.096,en
Elevation,605,"Action, Science Fiction, Thriller",6.5,en
Wicked,593,"Drama, Romance, Fantasy",6.9,en
Paddington in Peru,571,"Family, Adventure, Comedy",6.8,en
Back in Action,568,"Action, Comedy",6.5,en
Despicable Me 4,559,"Animation, Family, Comedy, Science Fiction",7.06,en
The Wild Robot,545,"Animation, Science Fiction, Family",8.3,en
Sniper: The Last Stand,539,"Action, Thriller",6.7,en
Piglet,513,Horror,5.7,en
Conclave,503,"Drama, Thriller",7.1,en
Nosferatu,496,"Fantasy, Horror",6.686,en
Deadpool & Wolverine,484,"Action, Comedy, Science Fiction",7.619,en
Wolf Man,475,"Horror, Thriller",6.5,en
Devara: Part 1,455,"Action, Drama",7.1,te
Red One,449,"Action, Fantasy, Comedy",7.1,en
Le Clitoris,443,"Animation, Documentary",7.1,fr
The Lord of the Rings: The War of the Rohirrim,442,"Animation, Fantasy, Adventure, Action",6.647,en
The Gardener,441,"Action, Comedy",6.3,fr
Inside Out 2,437,"Animation, Adventure, Comedy, Family",7.6,en
Absolution,434,"Action, Crime, Thriller, Mystery",5.896,en
Jugaremos en el bosque,404,Horror,7.014,es
My Fault,374,"Romance, Drama",7.8,es
Werewolves,371,"Action, Horror, Thriller",6.238,en
Dirty Angels,362,"Action, Drama, Thriller, War",6.193,en
Star Trek: Section 31,347,"Science Fiction, Adventure, Action",4.8,en
Heretic,342,"Horror, Thriller",7.2,en
"Miraculous World, London: At the Edge of Time",337,"Animation, Adventure, Action, Fantasy",7.322,fr
Night Call,337,"Thriller, Action",6.899,fr
Your Fault,337,"Romance, Drama",7.1,es
Nickel Boys,330,Drama,6.491,en
Alien: Romulus,328,"Horror, Science Fiction",7.2,en
Apocalypse Z: The Beginning of the End,328,"Drama, Action, Horror",6.715,es
Bad Boys: Ride or Die,319,"Action, Comedy, Crime, Thriller, Adventure",7.384,en
Smile 2,314,"Horror, Mystery",6.586,en
The Wailing,312,Horror,6.243,es
Mickey 17,311,"Science Fiction, Comedy, Drama",7.6,en
River of Blood,310,"Horror, Thriller",6.3,en
The Monkey,305,"Horror, Comedy",6,en
Dead Talents Society,304,"Horror, Comedy, Thriller",6.846,zh
Transformers One,299,"Animation, Science Fiction, Adventure, Family",8.095,en
Azrael,295,"Action, Horror, Thriller",6,en
Bridget Jones: Mad About the Boy,294,"Romance, Comedy, Drama",6.778,en
Interstellar,288,"Adventure, Drama, Science Fiction",8.5,en
Dune: Part Two,286,"Science Fiction, Adventure",8.148,en
Avengers: Infinity War,285,"Adventure, Action, Science Fiction",8.2,en
